k,oracle_wer_%
1,3.93859184753838
2,3.1127580730545263
4,2.9327686606670196
8,2.721016410799365
16,2.6786659608258336
24,2.5622022233986232
32,2.50926416093171
64,2.4245632609846477
128,2.286924298570672
256,2.1492853361566966
512,2.0539968237162523
