session,n_trials,n_words,mean_T,per_greedy_%,wer_flashlight_%,wer_final_%,delta_pp,word_errors,frac_lo_regime,share_of_all_errors_%,outlier
t15.2025.03.30,30,204,929.4333333333333,19.66,21.57,18.14,-3.43,37,0.03333333333333333,11.01,True
t15.2023.10.13,44,242,900.1818181818181,10.94,17.77,16.94,-0.83,41,0.45454545454545453,12.2,True
t15.2025.01.10,23,173,770.5217391304348,21.63,19.65,10.4,-9.25,18,0.0,5.36,True
t15.2023.11.26,44,278,1087.9545454545455,3.33,11.87,9.35,-2.52,26,0.4090909090909091,7.74,True
t15.2023.10.08,17,150,1068.1764705882354,16.37,12.0,8.0,-4.0,12,0.058823529411764705,3.57,True
